"BE";"RER w/o DE+NL+NO"
"BE";"RER w/o DE+NL+NO+RU"
"BE";"RER w/o DE+NL+RU"
"BE";"UCTE"
"BE";"UCTE without France"
"BE";"UCTE without Germany"
"BE";"UCTE without Germany and France"
"BE";"UN-EUROPE"
"BE";"WEU"
"BF";"RAF"
"BF";"UN-WAFRICA"
"BG";"ENTSO-E"
"BG";"Europe without NORDEL (NCPA)"
"BG";"Europe without Switzerland"
"BG";"Europe without Switzerland and France"
"BG";"Europe, without Russia and Turkey"
"BG";"RER"
"BG";"RER w/o AT+BE+CH+DE+FR+IT"
"BG";"RER w/o CH+DE"
"BG";"RER w/o DE+NL+NO"
"BG";"RER w/o DE+NL+NO+RU"
"BG";"RER w/o DE+NL+RU"
"BG";"UCTE"
"BG";"UCTE without France"
"BG";"UCTE without Germany"
"BG";"UCTE without Germany and France"
"BG";"UN-EEUROPE"
"BG";"UN-EUROPE"
"BH";"Asia without China"
"BH";"IAI Area 8, Gulf"
"BH";"RAS"
"BH";"UN-ASIA"
"BH";"UN-WASIA"
"BI";"RAF"
"BI";"UN-EAFRICA"
"BJ";"RAF"
"BJ";"UN-WAFRICA"
"BL";"RLA"
"BL";"UN-AMERICAS"
"BL";"UN-CARIBBEAN"
"BM";"RNA"
"BM";"UN-AMERICAS"
"BO";"RLA"
"BO";"UN-AMERICAS"
"BO";"UN-SAMERICA"
"BQ";"RLA"
"BQ";"UN-AMERICAS"
"BQ";"UN-CARIBBEAN"
"BR";"IAI Area 3, South America"
"BR";"RLA"
"BR";"UN-AMERICAS"
"BR";"UN-SAMERICA"
"BR-AC";"BR"
"BR-AC";"BR-Northern grid"
"BR-AC";"IAI Area 3, South America"
"BR-AC";"RLA"
"BR-AC";"UN-AMERICAS"
"BR-AC";"UN-SAMERICA"
"BR-AL";"BR"
"BR-AL";"BR-North-eastern grid"
"BR-AL";"IAI Area 3, South America"
"BR-AL";"RLA"
"BR-AL";"UN-AMERICAS"
"BR-AL";"UN-SAMERICA"
"BR-AM";"BR"
"BR-AM";"BR-Northern grid"
"BR-AM";"IAI Area 3, South America"
"BR-AM";"RLA"
"BR-AM";"UN-AMERICAS"
"BR-AM";"UN-SAMERICA"
"BR-AP";"BR"
"BR-AP";"BR-Northern grid"
"BR-AP";"IAI Area 3, South America"
"BR-AP";"RLA"
"BR-AP";"UN-AMERICAS"
"BR-AP";"UN-SAMERICA"
"BR-BA";"BR"
"BR-BA";"BR-North-eastern grid"
"BR-BA";"IAI Area 3, South America"
"BR-BA";"RLA"
"BR-BA";"UN-AMERICAS"
"BR-BA";"UN-SAMERICA"
"BR-CE";"BR"
"BR-CE";"BR-North-eastern grid"
"BR-CE";"IAI Area 3, South America"
"BR-CE";"RLA"
"BR-CE";"UN-AMERICAS"
"BR-CE";"UN-SAMERICA"
"BR-DF";"BR"
"BR-DF";"BR-South-eastern and Mid-western grid"
"BR-DF";"IAI Area 3, South America"
"BR-DF";"RLA"
"BR-DF";"UN-AMERICAS"
"BR-DF";"UN-SAMERICA"
"BR-ES";"BR"
"BR-ES";"BR-South-eastern and Mid-western grid"
"BR-ES";"IAI Area 3, South America"
"BR-ES";"RLA"
"BR-ES";"UN-AMERICAS"
"BR-ES";"UN-SAMERICA"
